artist,title,album
101 Strings Orchestra,Away In A Manger,Happy Holidays:Instrumental Orchestra Christmas Carols
101 Strings Orchestra,Deck The Halls,Happy Holidays:Instrumental Orchestra Christmas Carols
101 Strings Orchestra,God Rest Ye Merry Gentlemen,Happy Holidays:Instrumental Orchestra Christmas Carols
101 Strings Orchestra,Hallelujah Chorus,Happy Holidays:Instrumental Orchestra Christmas Carols
101 Strings Orchestra,Hark! The Herald Angels Sing,The Glory Of Christmas
101 Strings Orchestra,It Came Upon A Midnight Clear,
101 Strings Orchestra,Joy to the World,Happy Holidays:Instrumental Orchestra Christmas Carols
101 Strings Orchestra,"Merry Gentlemen, Good King Wenceslas, Jingle Bells",Happy Holidays:Instrumental Orchestra Christmas Carols
101 Strings Orchestra,O Holy Night,Happy Holidays:Instrumental Orchestra Christmas Carols
101 Strings Orchestra,Silent Night,Happy Holidays:Instrumental Orchestra Christmas Carols
2nd Chapter Of Acts,Heaven Came To Earth,"25 Songs of Christmas, Vol. 1"
4Him,Be Thou My Vision,Hymns: A Place of Worship
4Him,It Is Well With My Soul,Hymns: A Place of Worship
4Him,There Is A Fountain,Hymns: A Place of Worship
4Him,A Strange Way To Save The World,The Season of Love
4Him,The Best Gift Of All,"Jesus, The Best Gift Of All"
A Capella Praise Singers,God Will Make A Way,A Cappella Praise
A Cappella Choir Of Calvin College,"Lord Is My Shepherd, The",The Music Of Handel
Aaron Shust,"O Come, O Come Emmanuel (Radio Edit)",
Abbotsford Christian School,Noel Noel / God Rest Ye Merry Gentlemen,Welcome Dearest Jesus
Abundant Life Singers,We Will Glorify,I Go To The Rock
Acapeldridge,All The Way My Savior Leads Me,Whatever Is True
Acapeldridge,Nearer My God To Thee,Whatever Is True
Adam Bell,How Great Thou Art,Testimony Of Grace
Albin Whitworth,Blessed Redeemer,Saviour Like A Shepherd Lead Us
Alert Chorale,This Is My Country,Rise Up O Men Of God
Alert Chorale,God Bless America,Rise Up O Men Of God
Alert Chorale,Battle Hymn Of The Republic,Rise Up O Men Of God
Alert Chorale,America the Beautiful,Rise Up O Men Of God
Alert Chorale,Silent Night,Good Christian Men Rejoice
Alert Chorale,Go Tell It On The Mountain,Good Christian Men Rejoice
Alert Chorale,Carol Of The Bells,Good Christian Men Rejoice
Alert Chorale,O Little Town of Bethlehem / O Holy Night,Good Christian Men Rejoice
Alert Chorale,God Rest Ye Merry Gentlemen,Good Christian Men Rejoice
Alert Chorale,Joy to the World,Good Christian Men Rejoice
Alert Men's Chorus,The Lord's Prayer,When Free Men Shall Stand
Alert Men's Chorus,Stars And Stripes Forever,When Free Men Shall Stand
Alert Men's Chorus,Give Me Your Tired Your Poor,When Free Men Shall Stand
Alert Men's Chorus,"From Sea To Shining Sea (America, The Beautiful)",When Free Men Shall Stand
All Sons & Daughters,Great Are You Lord,All Sons & Daughters
Almeda Berkey Singers,"Silent World,The (What Child Is This)",The Anniversary Carols
Almeda Berkey Singers,Away In A Manger,The Anniversary Carols
Almeda Berkey Singers,Angels We Have Heard On High,The Anniversary Carols
Amen Choir and National Philharmonic Orchestra,How Firm A Foundation,Hymns Trumphant - Volume 2
Amen Choir and National Philharmonic Orchestra,Lead On O King Eternal,Hymns Trumphant - Volume 2
Amen Choir and National Philharmonic Orchestra,Be Thou My Vision,Hymns Trumphant - Volume 2
Amen Choir and National Philharmonic Orchestra,Come Christians Join To Sing/Rejoice The Lord Is King,Hymns Trumphant - Volume 2
Amen Choir and National Philharmonic Orchestra,Through Worship,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,Through Praise,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,Jesus The Very Thought Of Thee,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,Following The Light,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,O Wonderous Type And Vision Fair,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,The Church,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,Dedication,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,Communion And Thanksgiving,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,The Kingdom Of God,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,Sweet Hour Of Prayer,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,The Cross Of Christ,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,Christ The Lord Is Risen Today,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,Repentance & Acceptance Of Christ,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,Assurance Of The Faith,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,Deep River,"Hymns Triumphant, Vol. 2"
Amen Choir and National Philharmonic Orchestra,Amen,"Hymns Triumphant, Vol. 2"
American Bach Soloists,"24 Messiah, HWV 56 - Part II- Recitative- All they that see Him Laugh Him to scorn (Tenor)",George Frideric Handel Messiah
American Bach Soloists,"01 Messiah, HWV 56 - Part I- Sinfonia",George Frideric Handel Messiah
American Bach Soloists,"02 Messiah, HWV 56 - Part I- Recitative- Comfort ye my people (Tenor)",George Frideric Handel Messiah
American Bach Soloists,"25 Messiah, HWV 56 - Part II- He trusted in God that He would deliver Him (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"03 Messiah, HWV 56 - Part I- Aria- Every valley shall be exalted (Tenor)",George Frideric Handel Messiah
American Bach Soloists,"04 Messiah, HWV 56 - Part I- And the glory of the Lord shall be revealed (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"26 Messiah, HWV 56 - Part II- Recitative- Thy rebuke hath broken His heart (Tenor)",George Frideric Handel Messiah
American Bach Soloists,"27 Messiah, HWV 56 - Part II- Arioso- Behold, and see if there be any sorrow like unto His sorrow! (Tenor)",George Frideric Handel Messiah
American Bach Soloists,"29 Messiah, HWV 56 - Part II- Aria- But thou didst not leave His soul in Hell (Tenor)",George Frideric Handel Messiah
American Bach Soloists,"06 Messiah, HWV 56 - Part I- Aria- But who may abide the day of His coming (Bass)",George Frideric Handel Messiah
American Bach Soloists,"07 Messiah, HWV 56 - Part I- And He shall purify the sons of Levi (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"30 Messiah, HWV 56 - Part II- Lift up your heads (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"08 Messiah, HWV 56 - Part I- Recitative- Behold, a virgin shall conceive (Alto)- Song- O thou that tellest good tidings to Zion (Alto, Chorus)",George Frideric Handel Messiah
American Bach Soloists,"31 Messiah, HWV 56 - Part II- Recitative- Unto which of the angels said He at any time (Tenor)- Let all the angels of God worship Him (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"32 Messiah, HWV 56 - Part II- Aria- Thou art gone up high (bass)",George Frideric Handel Messiah
American Bach Soloists,"09 Messiah, HWV 56 - Part I- Recitative- For behold, darkness shall cover the earth (Bass)",George Frideric Handel Messiah
American Bach Soloists,"10 Messiah, HWV 56 - Part I- Aria- The people that walked in darkness have seen a great light (Bass)",George Frideric Handel Messiah
American Bach Soloists,"33 Messiah, HWV 56 - Part II- The Lord gave the word (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"11 Messiah, HWV 56 - Part I- For unto a child is born (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"12 Messiah, HWV 56 - Part I- Pifa",George Frideric Handel Messiah
American Bach Soloists,"35 Messiah, HWV 56 - Part II- Aria- Why do the nations so furiosly rage together (Bass)",George Frideric Handel Messiah
American Bach Soloists,"34 Messiah, HWV 56 - Part II- How beautiful are the feet of Him that bringeth glad tidings of salvation (Soprano)",A George Beverly Shea Christmas
American Bach Soloists,"36 Messiah, HWV 56 - Part II- Let us break their bonds asunder (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"13 Messiah, HWV 56 - Part I- Recitative- There were shepherds abiding in the field (Soprano)- Recitative- And lo, the Angel of the Lord came upon them (Soprano)",George Frideric Handel Messiah
American Bach Soloists,"14 Messiah, HWV 56 - Part I- And the Angel said unto them… (Soprano)- Recitative- And suddenly there was with the Angel (Soprano)",George Frideric Handel Messiah
American Bach Soloists,"15 Messiah, HWV 56 - Part I- Glory to God (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"37 Messiah, HWV 56 - Part II- Recitative- He that dwelleth in heaven shall laugh them to scorn (Tenor)- Song- Thou shalt break them with a rod of iron (Tenor)",George Frideric Handel Messiah
American Bach Soloists,"38 Messiah, HWV 56 - Part II- Hallelujah! (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"16 Messiah, HWV 56 - Part I- Aria- Rejoice greatly, O daughter of Zion (Soprano)",George Frideric Handel Messiah
American Bach Soloists,"17 Messiah, HWV 56 - Part I- Recitative- Then shall the eyes of the blind be opened (Soprano) He Shall Feed His Flock",George Frideric Handel Messiah
American Bach Soloists,"39 Messiah, HWV 56 - Part II- Aria- I know that my Redeemer liveth (Soprano)",George Frideric Handel Messiah
American Bach Soloists,"40 Messiah, HWV 56 - Part II- Since by man came death (Chorus)",George Frideric Handel Messiah
American Bach Soloists,"18 Messiah, HWV 56 - Part I- His yoke is easy, His burthen is light (Chorus)",George Frideric Handel Messiah
